id,time_step,birth_time,death_time,x,y,next_id,prev_id
0,0,0,15,497,241,136,1
0,1,0,15,498,240,136,1
0,2,0,15,499,240,136,1
0,3,0,15,500,239,136,1
0,4,0,15,501,239,136,1
0,5,0,15,502,238,136,1
0,6,0,15,503,238,136,1
0,7,0,15,504,239,136,1
0,8,0,15,505,240,136,1
0,9,0,15,506,241,136,1
0,10,0,15,507,242,136,1
0,11,0,15,508,243,136,1
0,12,0,15,509,243,136,1
0,13,0,15,510,244,136,1
0,14,0,15,511,245,136,1
1,0,0,23,506,237,0,2
1,1,0,23,507,237,0,2
1,2,0,23,508,237,0,2
1,3,0,23,509,238,0,2
1,4,0,23,510,238,0,2
1,5,0,23,511,238,0,2
1,6,0,23,512,238,0,2
1,7,0,23,513,239,0,2
1,8,0,23,514,240,0,2
1,9,0,23,515,241,0,2
1,10,0,23,516,242,0,2
1,11,0,23,517,243,0,2
1,12,0,23,518,244,0,2
1,13,0,23,519,244,0,2
1,14,0,23,518,245,0,2
1,15,0,23,519,246,136,2
1,16,0,23,520,247,136,2
1,17,0,23,521,246,136,2
1,18,0,23,521,247,136,2
1,19,0,23,524,250,136,4
1,20,0,23,523,249,136,373
1,21,0,23,524,250,136,373
1,22,0,23,525,250,136,373
2,0,0,19,513,237,1,3
2,1,0,19,514,237,1,3
2,2,0,19,515,237,1,3
2,3,0,19,516,238,1,3
2,4,0,19,517,238,1,3
2,5,0,19,518,238,1,3
2,6,0,19,519,238,1,3
2,7,0,19,520,239,1,3
2,8,0,19,521,240,1,4
2,9,0,19,522,241,1,4
2,10,0,19,523,242,1,4
2,11,0,19,524,243,1,4
2,12,0,19,525,244,1,4
2,13,0,19,526,245,1,4
2,14,0,19,527,246,1,4
2,15,0,19,528,247,1,4
2,16,0,19,529,247,1,4
2,17,0,19,528,246,1,4
2,18,0,19,529,249,1,4
3,0,0,8,520,236,2,4
3,1,0,8,521,236,2,4
3,2,0,8,522,237,2,4
3,3,0,8,523,238,2,4
3,4,0,8,524,238,2,4
3,5,0,8,525,238,2,4
3,6,0,8,526,238,2,4
3,7,0,8,527,239,2,4
4,0,0,21,527,236,3,5
4,1,0,21,528,236,3,5
4,2,0,21,529,237,3,5
4,3,0,21,530,238,3,5
4,4,0,21,531,238,3,5
4,5,0,21,532,238,3,5
4,6,0,21,533,239,3,5
4,7,0,21,534,239,3,5
4,8,0,21,535,240,2,5
4,9,0,21,536,241,2,5
4,10,0,21,537,242,2,5
4,11,0,21,538,243,2,5
4,12,0,21,537,244,2,5
4,13,0,21,538,245,2,5
4,14,0,21,540,247,2,5
4,15,0,21,540,248,2,5
4,16,0,21,541,249,2,5
4,17,0,21,540,248,2,5
4,18,0,21,537,251,2,5
4,19,0,21,537,253,1,5
4,20,0,21,537,254,373,5
5,0,0,32,538,237,4,6
5,1,0,32,537,236,4,6
5,2,0,32,538,237,4,6
5,3,0,32,539,238,4,6
5,4,0,32,540,238,4,6
5,5,0,32,541,238,4,6
5,6,0,32,542,238,4,6
5,7,0,32,543,239,4,6
5,8,0,32,545,241,4,6
5,9,0,32,546,242,4,6
5,10,0,32,547,243,4,6
5,11,0,32,548,243,4,6
5,12,0,32,550,245,4,6
5,13,0,32,551,246,4,6
5,14,0,32,549,248,4,6
5,15,0,32,548,249,4,290
5,16,0,32,547,250,4,290
5,17,0,32,547,249,4,290
5,18,0,32,547,253,4,290
5,19,0,32,547,256,4,290
5,20,0,32,548,257,4,290
5,21,0,32,549,257,391,392
5,22,0,32,550,257,391,392
5,23,0,32,551,258,391,392
5,24,0,32,552,259,391,392
5,25,0,32,552,260,391,392
5,26,0,32,554,262,391,392
5,27,0,32,555,264,391,477
5,28,0,32,553,266,391,504
5,29,0,32,555,268,391,477
5,30,0,32,554,271,391,477
5,31,0,32,554,272,391,477
6,0,0,26,547,237,5,7
6,1,0,26,546,236,5,7
6,2,0,26,547,237,5,7
6,3,0,26,548,238,5,7
6,4,0,26,549,238,5,7
6,5,0,26,550,238,5,7
6,6,0,26,551,238,5,7
6,7,0,26,552,239,5,7
6,8,0,26,552,240,5,7
6,9,0,26,553,241,5,7
6,10,0,26,555,243,5,7
6,11,0,26,556,244,5,7
6,12,0,26,559,247,5,7
6,13,0,26,560,248,5,7
6,14,0,26,560,250,5,7
6,15,0,26,562,252,290,8
6,16,0,26,564,254,290,8
6,17,0,26,563,253,290,8
6,18,0,26,561,257,290,8
6,19,0,26,561,260,290,8
6,20,0,26,562,261,290,8
6,21,0,26,563,262,392,8
6,22,0,26,564,262,392,413
6,23,0,26,564,263,392,413
6,24,0,26,565,264,392,338
6,25,0,26,566,265,392,338
7,0,0,15,555,236,6,8
7,1,0,15,556,236,6,8
7,2,0,15,557,237,6,8
7,3,0,15,558,237,6,8
7,4,0,15,559,238,6,8
7,5,0,15,560,238,6,8
7,6,0,15,561,238,6,8
7,7,0,15,562,239,6,8
7,8,0,15,564,241,6,8
7,9,0,15,565,242,6,8
7,10,0,15,565,243,6,8
7,11,0,15,565,244,6,8
7,12,0,15,567,247,6,8
7,13,0,15,567,248,6,8
7,14,0,15,566,251,6,8
8,0,0,22,564,236,7,9
8,1,0,22,565,236,7,9
8,2,0,22,566,237,7,9
8,3,0,22,567,238,7,9
8,4,0,22,568,238,7,9
8,5,0,22,569,238,7,9
8,6,0,22,570,238,7,9
8,7,0,22,571,239,7,9
8,8,0,22,573,241,7,205
8,9,0,22,573,242,7,205
8,10,0,22,574,244,7,205
8,11,0,22,574,245,7,205
8,12,0,22,577,249,7,205
8,13,0,22,577,251,7,205
8,14,0,22,575,254,7,275
8,15,0,22,574,256,6,291
8,16,0,22,573,257,6,309
8,17,0,22,573,256,6,323
8,18,0,22,570,260,6,338
8,19,0,22,567,263,6,338
8,20,0,22,568,264,6,338
8,21,0,22,569,265,6,338
9,0,0,8,571,236,8,10
9,1,0,8,572,236,8,10
9,2,0,8,572,237,8,10
9,3,0,8,573,238,8,10
9,4,0,8,574,238,8,10
9,5,0,8,575,238,8,10
9,6,0,8,576,238,8,10
9,7,0,8,577,239,8,10
10,0,0,13,580,237,9,11
10,1,0,13,581,236,9,137
10,2,0,13,583,238,9,137
10,3,0,13,584,238,9,137
10,4,0,13,585,238,9,137
10,5,0,13,586,239,9,137
10,6,0,13,587,239,9,137
10,7,0,13,588,239,9,12
10,8,0,13,588,242,205,12
10,9,0,13,591,239,205,216
10,10,0,13,590,238,205,216
10,11,0,13,589,237,205,216
10,12,0,13,589,236,205,246
11,0,0,1,587,237,10,12
12,0,0,9,597,239,11,13
12,1,0,9,596,239,137,13
12,2,0,9,597,238,137,13
12,3,0,9,598,239,137,13
12,4,0,9,599,239,137,13
12,5,0,9,600,238,137,13
12,6,0,9,599,237,137,13
12,7,0,9,599,236,10,13
12,8,0,9,595,240,10,13
13,0,0,12,605,242,12,14
13,1,0,12,606,243,12,14
13,2,0,12,606,245,12,14
13,3,0,12,605,247,12,14
13,4,0,12,604,246,12,14
13,5,0,12,603,246,12,14
13,6,0,12,602,245,12,14
13,7,0,12,603,246,12,14
13,8,0,12,602,245,12,14
13,9,0,12,606,241,216,14
13,10,0,12,603,246,216,226
13,11,0,12,601,248,216,226
14,0,0,10,613,241,13,15
14,1,0,10,612,240,13,15
14,2,0,10,611,239,13,15
14,3,0,10,612,240,13,15
14,4,0,10,613,241,13,161
14,5,0,10,614,242,13,184
14,6,0,10,615,243,13,184
14,7,0,10,614,244,13,184
14,8,0,10,614,242,13,184
14,9,0,10,611,245,13,217
15,0,0,4,622,242,14,16
15,1,0,4,621,241,14,138
15,2,0,4,619,242,14,138
15,3,0,4,617,244,14,161
16,0,0,12,629,242,15,17
16,1,0,12,636,244,138,18
16,2,0,12,639,243,138,18
